mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_learning_decay,param_n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
1.569663365681966,0.06943591435750325,-4890862.052719505,-9217887.478538424,0.3,3,"{'learning_decay': 0.3, 'n_components': 3}",12,-5238984.177486636,-8841620.57417752,-4032217.965639273,-10049388.70332616,-5416399.3668653425,-8762653.15811159,0.14666637781024186,0.009993569756057145,615789.7977557345,588843.3172005728
1.9890406131744385,0.08192022641499837,-4886436.827754847,-9148741.509326575,0.3,4,"{'learning_decay': 0.3, 'n_components': 4}",7,-5234969.029065648,-8758873.772864081,-4036480.9403305775,-9964611.525310317,-5402608.269342241,-8722739.229805326,0.036571741849930416,0.006314611772787337,609186.1709318112,577095.7970946708
2.1822144190470376,0.09577027956644694,-4895381.939253783,-9102244.775979513,0.3,5,"{'learning_decay': 0.3, 'n_components': 5}",16,-5253302.290753252,-8678936.544466028,-4052132.162371803,-9943432.297296448,-5394985.759500487,-8684365.486176068,0.08373579158448391,0.009016259515991222,603337.9584014002,594813.5298094224
2.3806279500325522,0.11980668703715007,-4904858.684622882,-9047646.97015773,0.3,7,"{'learning_decay': 0.3, 'n_components': 7}",19,-5260789.350114953,-8634343.379454384,-4059576.898881083,-9860726.44415526,-5408602.484879955,-8647871.08686355,0.06818496442088096,0.007407660830988589,605021.8011978627,574960.5337145681
2.4244836966196694,0.12464340527852376,-4925681.0779676335,-9042587.532636696,0.3,8,"{'learning_decay': 0.3, 'n_components': 8}",35,-5292264.081436465,-8640076.209295947,-4082036.096094042,-9849585.292532753,-5416774.291031357,-8638101.096081393,0.11932880591009921,0.010138809593083805,602989.8653212287,570634.1581235104
2.571547587712606,0.1368109385172526,-4930595.159408529,-9034131.142475672,0.3,9,"{'learning_decay': 0.3, 'n_components': 9}",39,-5288394.019190008,-8610992.77514008,-4092061.4242948745,-9849494.269543175,-5425469.295779888,-8641906.38274376,0.13784030682781775,0.0019772466639779,599817.068935128,576686.9078450002
2.5867043336232505,0.14136425654093424,-4928516.164418473,-9001642.01552831,0.3,10,"{'learning_decay': 0.3, 'n_components': 10}",37,-5277781.380596875,-8564445.36661069,-4096454.8153087976,-9818148.38850569,-5425512.183612431,-8622332.29146855,0.07576593269325536,0.004221244321051597,595650.10752813,577840.6451908591
2.8992265860239663,0.1691110928853353,-4965542.86142096,-8984110.114604076,0.3,15,"{'learning_decay': 0.3, 'n_components': 15}",45,-5337411.479336072,-8510968.256595563,-4124335.4235945977,-9836607.881256595,-5448685.764270779,-8604754.205960069,0.1042791110333522,0.011308690983351181,600829.4585650722,604021.6787970448
3.6266942818959556,0.2122790813446045,-5026143.681612829,-8956777.714490347,0.3,25,"{'learning_decay': 0.3, 'n_components': 25}",51,-5389114.1954981815,-8487180.81554182,-4203629.403426915,-9802140.068361761,-5499203.438981053,-8581012.259567458,0.1386489322411671,0.009922537726141496,587517.7147030566,598987.5997488028
4.13195006052653,0.23249212900797525,-5056394.949196751,-8940541.314127466,0.3,35,"{'learning_decay': 0.3, 'n_components': 35}",55,-5463108.883572355,-8454412.952661172,-4208005.339469067,-9795540.410544435,-5511061.085588598,-8571670.579176795,0.1450444718244775,0.016084515902946014,604548.9772310221,606467.8770824787
4.551245053609212,0.25224852561950684,-5103832.964146171,-8946292.123777179,0.3,40,"{'learning_decay': 0.3, 'n_components': 40}",66,-5500453.846657878,-8448077.682195386,-4276904.126542576,-9794129.135010531,-5546797.03556429,-8596669.554125622,0.20993434236069664,0.01771827888923087,589251.1844653472,602572.5872256717
7.425625165303548,0.3765936692555745,-5089442.877077817,-8958345.207621753,0.3,50,"{'learning_decay': 0.3, 'n_components': 50}",62,-5537754.902748397,-8451676.461843623,-4249679.291309666,-9828264.8171844,-5492407.718354727,-8595094.34383724,0.30464664992162,0.03528940861161947,598374.977980327,617906.286068852
1.508198340733846,0.06318831443786621,-4878960.310612277,-9193605.786677897,0.4,3,"{'learning_decay': 0.4, 'n_components': 3}",4,-5212889.739762898,-8820237.948925529,-4043024.1489072433,-10024817.648846358,-5395731.947065348,-8735761.762261806,0.1276902535180836,0.003290322566586176,600001.8748184347,588766.4655223273
2.013848066329956,0.08849859237670898,-4895983.9594491245,-9143881.338681845,0.4,4,"{'learning_decay': 0.4, 'n_components': 4}",17,-5233946.275260691,-8734718.093176646,-4036345.2016029907,-9973308.269570237,-5433003.826249415,-8723617.653298654,0.1487357490911826,0.014969421550039932,617588.1881981705,586510.9150468123
2.1448647181193032,0.09755428632100423,-4895151.815339787,-9102507.794539556,0.4,5,"{'learning_decay': 0.4, 'n_components': 5}",15,-5233226.0513386885,-8717167.714786477,-4051105.7968889987,-9913502.838782934,-5416005.120804964,-8676852.830049254,0.08413821693225491,0.005987596881054685,605730.4323840893,573696.2284597047
2.427151600519816,0.12615752220153809,-4905241.224269786,-9050001.95070519,0.4,7,"{'learning_decay': 0.4, 'n_components': 7}",20,-5261221.5818381,-8633692.625956636,-4070858.1846691547,-9873001.810031647,-5397714.573420699,-8643311.416127283,0.14048537174610884,0.0038883876085699072,596851.6557930409,581962.0300441225
2.418819268544515,0.12082568804423015,-4909034.336181811,-9019244.863858078,0.4,8,"{'learning_decay': 0.4, 'n_components': 8}",22,-5257238.599185435,-8581095.37227557,-4066008.30340308,-9853479.492336135,-5418409.687420892,-8623159.726962525,0.12406458880220031,0.0047246640263928505,603990.0898032573,590142.871965623
2.497751474380493,0.13148419062296549,-4917180.724914505,-9007422.263824182,0.4,9,"{'learning_decay': 0.4, 'n_components': 9}",30,-5272506.601320496,-8571076.481628932,-4087684.828975572,-9815195.962766452,-5405296.921492537,-8635994.347077163,0.10274259391812367,0.0010232436999578472,593246.8477023611,571796.7843215781
2.5673790772755942,0.13619327545166016,-4940467.640293232,-9002892.57610345,0.4,10,"{'learning_decay': 0.4, 'n_components': 10}",41,-5305516.70991959,-8582322.187714284,-4095966.497046359,-9821522.41031179,-5434021.245490823,-8604833.130284281,0.06890015372249135,0.006285501788504726,603736.288482878,578931.6538393951
2.831603527069092,0.16538333892822266,-4963522.591449213,-8983756.226625051,0.4,15,"{'learning_decay': 0.4, 'n_components': 15}",44,-5342554.73775371,-8527741.00739374,-4112549.973351418,-9833902.199949175,-5449343.665354079,-8589625.472532239,0.0874793711260663,0.009989065892681571,607631.3066615007,601674.6372837431
3.6712608337402344,0.2135601838429769,-5026887.58968276,-8967157.873026792,0.4,25,"{'learning_decay': 0.4, 'n_components': 25}",52,-5411755.0350735495,-8529747.952044616,-4168571.0905031143,-9779886.43999425,-5514261.615641877,-8591839.227041509,0.12023123878035488,0.010830912083646848,612727.1377518171,575244.6576784633
4.147964954376221,0.2414430777231852,-5078318.630268232,-8940391.426351987,0.4,35,"{'learning_decay': 0.4, 'n_components': 35}",59,-5490227.040882671,-8457895.89017333,-4229514.745643502,-9782116.440301549,-5528063.971161179,-8581161.948581079,0.14658005114265663,0.01677423661511715,604724.9032966285,597313.083522167
4.587602853775024,0.2575231393178304,-5098170.068354731,-8940373.467197673,0.4,40,"{'learning_decay': 0.4, 'n_components': 40}",64,-5493987.640411849,-8447437.056855906,-4245198.100190649,-9784167.290113868,-5568770.181994255,-8589516.054623246,0.17842830616063468,0.019032214808629315,608259.9503229684,599465.1071832222
7.43927542368571,0.3840951919555664,-5138273.836295972,-8944437.425203407,0.4,50,"{'learning_decay': 0.4, 'n_components': 50}",72,-5588739.23845321,-8460192.343686625,-4328114.740509966,-9802937.971273184,-5508546.7562079355,-8570181.960650412,0.3200948087420587,0.03400906091870726,577928.6501358527,608710.0128750628
1.6553490161895752,0.0727691650390625,-4890667.9480163315,-9199644.658623958,0.5,3,"{'learning_decay': 0.5, 'n_components': 3}",11,-5237807.295712073,-8824853.488732161,-4048472.6805077572,-10041629.6282842,-5400284.336058954,-8732450.858855518,0.11000321173113564,0.0070680764225706525,603459.9930762326,596567.1676921475
2.034273862838745,0.08525458971659343,-4875853.551934138,-9154482.09907926,0.5,4,"{'learning_decay': 0.5, 'n_components': 4}",1,-5227048.930002416,-8807859.79295055,-4047886.8377290433,-9972360.120322932,-5366647.574427919,-8683226.383964302,0.02323273388462905,0.0076025131990611955,592421.9019838334,580561.0590247907
